Entry	Entry Name	Protein names	Gene Names	Mass	Interacts with	Subunit structure
A5A616	MGTS_ECOLI	Small protein MgtS	mgtS yneM b4599 JW1527.1	3509		SUBUNIT: Interacts with MgtA. {ECO:0000269|PubMed:28512220}.
O32583	THIS_ECOLI	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	thiS thiG1 b4407 JW3955	7311		
P00350	6PGD_ECOLI	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	gnd b2029 JW2011	51481	P00350	SUBUNIT: Homodimer. {ECO:0000269|PubMed:19686854}.
P00363	FRDA_ECOLI	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)	frdA b4154 JW4115	65972	P0AC47; P0ACB4; P76111	SUBUNIT: Part of an enzyme complex containing four subunits: a flavoprotein (FrdA), an iron-sulfur protein (FrdB), and two hydrophobic anchor proteins (FrdC and FrdD) (PubMed:10373108, PubMed:11850430). Can be cross-linked to SdhE (PubMed:26644464). Purified from membrane fractions associated with protoporphyrinogen IX dehydrogenase (hemG) (PubMed:20484676). {ECO:0000269|PubMed:10373108, ECO:0000269|PubMed:11850430, ECO:0000269|PubMed:20484676, ECO:0000269|PubMed:26644464, ECO:0000305|PubMed:26644464}.
P00370	DHE4_ECOLI	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	gdhA b1761 JW1750	48581		SUBUNIT: Homohexamer. {ECO:0000269|PubMed:235298, ECO:0000269|PubMed:241744, ECO:0000269|Ref.12}.
P00393	NDH_ECOLI	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)	ndh b1109 JW1095	47359		SUBUNIT: Monomer (PubMed:7020757). Forms a supercomplex with the NADH:quinone oxidoreductase NDH-1 in the aerobic respiratory chain (PubMed:21040753). {ECO:0000269|PubMed:21040753, ECO:0000269|PubMed:7020757}.
P00448	SODM_ECOLI	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	sodA b3908 JW3879	23097		SUBUNIT: Homodimer.
P00452	RIR1_ECOLI	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	nrdA dnaF b2234 JW2228	85775	P00452; P69924	SUBUNIT: Tetramer of two alpha (R1) and two beta (R2) subunits. The B1 protein is a dimer of alpha subunits. A radical transfer pathway occurs between 'Tyr-122' of R2 and R1. {ECO:0000269|PubMed:9309223, ECO:0000269|PubMed:9395490}.
P00490	PHSM_ECOLI	Maltodextrin phosphorylase (EC 2.4.1.1)	malP b3417 JW5689	90522		SUBUNIT: Homodimer.
P00509	AAT_ECOLI	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	aspC b0928 JW0911	43573	P00509	SUBUNIT: Homodimer. {ECO:0000269|PubMed:17713924}.
P00550	PTM3C_ECOLI	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)]	mtlA b3599 JW3573	67972		SUBUNIT: Homodimer. {ECO:0000269|PubMed:3322385}.
