Entry	Entry Name	Protein names	Gene Names	Mass	Interacts with	Subunit structure
C0SP85	YUKE_BACSU	Protein YukE	yukE BSU31910	10993		SUBUNIT: Homodimer. {ECO:0000269|PubMed:23861817, ECO:0000269|PubMed:24828531}.
C0SPC1	CCRZ_BACSU	Cell cycle regulator CcrZ (EC 2.7.1.15) (EC 2.7.1.229) (Cell cycle regulator protein interacting with FtsZ)	ccrZ ytmP BSU29920	30791		SUBUNIT: Monomer in solution. Interacts with DnaA (via domains I (1-82) and III (111-326)). Interacts with DnaB (PubMed:35576203). Interacts with FtsZ (By similarity). {ECO:0000250|UniProtKB:A0A0H2ZQL5, ECO:0000269|PubMed:35576203}.
O05394	MCCB_BACSU	Cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase) (Homocysteine gamma-lyase) (EC 4.4.1.2)	mccB yrhB BSU27250	40886		
O05512	MANB_BACSU	Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78) (1,4-beta-D-mannan mannanohydrolase) (Beta-mannanase) (Glucomannan utilization protein G)	gmuG ydhT BSU05880	40892		SUBUNIT: Homodimer. {ECO:0000269|Ref.6}.
O06724	YISK_BACSU	Oxaloacetate tautomerase YisK (EC 5.3.2.2) (Oxaloacetate decarboxylase YisK) (EC 4.1.1.112)	yisK BSU10750	33146		SUBUNIT: Homodimer. {ECO:0000269|PubMed:38047707}.
O06728	YISP_BACSU	Farnesyl diphosphate phosphatase YisP (EC 3.1.7.6)	yisP yucD BSU10810	30621		SUBUNIT: Monomer. {ECO:0000269|PubMed:25308276}.
O06967	BMRA_BACSU	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA (EC 7.6.2.-)	bmrA yvcC BSU34820	64519		SUBUNIT: Homodimer. {ECO:0000269|PubMed:11827477, ECO:0000269|PubMed:15766260, ECO:0000269|PubMed:16405427}.
O07006	PADC_BACSU	Phenolic acid decarboxylase PadC (PAD) (EC 4.1.1.102)	padC pad yveH BSU34400	19077		SUBUNIT: Homodimer. {ECO:0000305|PubMed:9546183, ECO:0000305|Ref.7}.
O07012	BGAL2_BACSU	Beta-galactosidase GanA (Beta-gal) (EC 3.2.1.23) (Beta-1,4-galactooligomerase) (Galactooligomerase)	ganA galO lacA yvfN BSU34130	77499		SUBUNIT: Homotrimer. {ECO:0000269|PubMed:17056685}.
O07532	LYTF_BACSU	Peptidoglycan endopeptidase LytF (EC 3.4.-.-) (Autolysin LytF) (Cell wall-associated polypeptide CWBP49') (Gamma-D-glutamate-meso-diaminopimelate muropeptidase LytF) (Peptidoglycan hydrolase LytF) (Vegetative cell wall hydrolase LytF)	lytF cwlE yhdD BSU09370	51395		
O07566	NTDA_BACSU	3-oxo-glucose-6-phosphate:glutamate aminotransferase (EC 2.6.1.104) (3-dehydro-glucose-6-phosphate--glutamate transaminase) (Kanosamine 6-phosphate transaminase)	ntdA yhjL BSU10550	50141		SUBUNIT: Homodimer. {ECO:0000269|PubMed:24097983}.
O07600	FABH2_BACSU	Beta-ketoacyl-[acyl-carrier-protein] synthase III 2 (Beta-ketoacyl-ACP synthase III 2) (KAS III 2) (EC 2.3.1.180) (EC 2.3.1.300) (3-oxoacyl-[acyl-carrier-protein] synthase 3 2) (3-oxoacyl-[acyl-carrier-protein] synthase III 2) (Branched-chain beta-ketoacyl-[acyl-carrier-protein] synthase 2) (bFabH2)	fabHB fabH2 yhfB BSU10170	35424		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01815}.
O07623	SBOA_BACSU	Subtilosin-A (Antilisterial bacteriocin subtilosin)	sboA sbo BSU37350	4325		
O08336	CYPB_BACSU	Bifunctional cytochrome P450/NADPH--P450 reductase 2 (CYP102A3) (Fatty acid hydroxylase CypB) (Flavocytochrome P450 102A3) [Includes: Cytochrome P450 102A3 (EC 1.14.14.1); NADPH--cytochrome P450 reductase (EC 1.6.2.4)]	cypB cyp102A3 yrhJ BSU27160	118676		
O08394	CYPD_BACSU	Bifunctional cytochrome P450/NADPH--P450 reductase 1 (CYP102A2) (Fatty acid hydroxylase CypD) (Flavocytochrome P450 102A2) [Includes: Cytochrome P450 102A2 (EC 1.14.14.1); NADPH--cytochrome P450 reductase (EC 1.6.2.4)]	cypD cyp102A2 yetO yfnJ BSU07250	119468		
O31422	SKFA_BACSU	Sporulation killing factor (SKF) (Sporulation-killing factor SkfA)	skfA ybcO BSU01910	5934		
O31461	ILVE1_BACSU	Branched-chain-amino-acid transaminase 1 (BCAT 1) (EC 2.6.1.42)	ilvE ybgE BSU02390	39676		
O31523	RHGT1_BACSU	Rhamnogalacturonan acetylesterase RhgT (RGAE) (EC 3.1.1.-)	rhgT yesT BSU07020	25944		SUBUNIT: Monomer. {ECO:0000269|PubMed:17957779}.
O31526	YESW_BACSU	Rhamnogalacturonan endolyase YesW (EC 4.2.2.23)	yesW BSU07050	67587		SUBUNIT: Monomer. {ECO:0000269|PubMed:16682770, ECO:0000269|PubMed:17947240, ECO:0000269|PubMed:19193638}.
O31527	YESX_BACSU	Rhamnogalacturonan exolyase YesX (EC 4.2.2.24)	yesX BSU07060	67690		SUBUNIT: Monomer.
